timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1.660,-9.271391,0.514230,0.943670,-15.732501,14.227501,21.542501
1.680,-9.137801,0.597800,0.866200,-12.446876,10.762501,16.773750
1.700,-9.087171,0.674050,0.814960,-6.925625,7.551250,17.185001
1.720,-9.067651,0.649650,0.687470,5.753125,-0.546875,18.344376
1.740,-9.218321,0.537410,0.592310,10.346875,-4.112500,17.530626
1.760,-9.368990,0.450180,0.525820,12.595626,-5.635000,14.087501
1.780,-9.664231,0.240950,0.333670,11.668125,-2.218125,12.031251
1.800,-9.656301,0.224480,0.315370,9.852501,0.008750,9.572500
1.820,-9.527591,0.322690,0.369660,4.624375,3.364375,4.296250
1.840,-9.472080,0.339160,0.391010,3.233125,5.070625,1.990625
1.860,-9.371430,0.385520,0.470310,4.445000,6.680625,-0.192500
1.880,-9.295791,0.362340,0.437370,6.737500,4.060000,0.997500
1.900,-9.323240,0.351360,0.423340,11.484376,-5.858125,6.461875
1.920,-9.367770,0.315980,0.451400,12.350626,-10.080001,8.911876
1.940,-9.583100,0.223870,0.498370,11.991876,-12.617500,10.119375
1.960,-9.819170,-0.006100,0.633790,9.708125,-9.126250,6.650000
1.980,-9.763661,-0.004270,0.689300,6.912500,-4.786250,2.047500
2.000,-9.674601,0.080520,0.732000,1.343125,1.378125,-8.496250
2.020,-9.592860,0.122610,0.739320,0.091875,2.410625,-12.503751
2.040,-9.501360,0.156770,0.768600,-0.048125,-0.770000,-18.532501
2.060,-9.473301,0.143350,0.723460,0.936250,-3.578750,-21.358751
2.080,-9.448901,0.157990,0.614270,1.246875,-6.260625,-23.891876
2.100,-9.455000,0.098210,0.330010,1.015000,-7.105000,-22.925001
2.120,-9.542840,0.042090,0.251320,1.251250,-9.126250,-21.686876
2.140,-9.694731,0.004880,0.163480,1.894375,-14.249375,-21.910002
2.160,-9.722790,0.029280,0.131150,0.013125,-14.315001,-23.165627
2.180,-9.721570,0.096990,0.175680,-5.735625,-10.377501,-28.358751
2.200,-9.691681,0.124440,0.200080,-7.560000,-7.371875,-32.221878
2.220,-9.653860,0.170190,0.260470,-8.911876,-0.966875,-39.585003
2.240,-9.258581,0.370880,0.235460,-9.170000,1.723750,-41.728752
2.260,-9.225031,0.382470,0.190320,-7.861876,5.521250,-42.201252
2.280,-9.229911,0.399550,0.082960,0.665000,4.755625,-42.056877
2.300,-9.226251,0.428830,0.081130,6.046250,3.605000,-42.179379
2.320,-9.400101,0.323910,0.015250,12.092501,2.126250,-42.997501
2.340,-9.509900,0.191540,-0.006100,12.993751,3.228750,-43.378128
2.360,-9.615431,-0.047580,0.075030,11.427501,4.186875,-43.290627
2.380,-9.631291,-0.175680,0.123830,9.791250,2.642500,-42.660625
2.400,-9.653251,-0.209840,0.222040,5.565000,-1.837500,-42.743752
2.420,-9.670940,-0.186660,0.311100,2.839375,-1.999375,-43.859379
2.440,-9.700221,-0.075640,0.305610,0.070000,0.319375,-45.482502
2.460,-9.455610,0.205570,0.345870,-3.062500,8.929376,-50.627502
2.480,-9.334220,0.350140,0.419070,-1.977500,12.635000,-54.796879
2.500,-9.043860,0.562420,0.628300,4.926250,17.793125,-64.960007
2.520,-9.002991,0.516670,0.788730,10.246250,18.239376,-70.214378
2.540,-8.988960,0.176290,0.958920,24.294376,13.400625,-79.480629
2.560,-9.195141,0.034160,0.963800,31.294376,7.665000,-82.591255
2.580,-9.465370,-0.154330,0.944280,40.495003,-0.433125,-83.531876
2.600,-9.570291,-0.351970,0.578280,39.803753,-3.443125,-81.593758
2.620,-9.765491,-0.407480,0.356850,36.102501,-6.339375,-78.859375
2.640,-9.830760,-0.581940,0.023790,25.007502,-10.451876,-71.093750
2.660,-9.867970,-0.625250,-0.046360,19.713751,-12.985001,-67.331253
2.680,-9.580050,-0.561200,-0.159210,10.268126,-17.513126,-61.320004
2.700,-9.467200,-0.494710,-0.229970,6.348125,-19.031250,-60.073128
2.720,-9.423281,-0.531920,-0.333670,2.861250,-17.049376,-59.552502
2.740,-9.592251,-0.542900,-0.355020,3.928750,-13.619375,-60.265629
2.760,-9.642880,-0.550830,-0.462380,5.560625,-1.929375,-60.615627
2.780,-9.535521,-0.394060,-0.616710,7.266875,4.488750,-59.132504
2.800,-9.468421,-0.380640,-0.613050,7.481250,8.229376,-56.498753
2.820,-9.400101,-0.461160,-0.377590,8.500626,6.615000,-49.778751
2.840,-9.490381,-0.513010,-0.242780,8.973125,4.270000,-46.895626
2.860,-9.472080,-0.578280,0.020130,9.030001,3.631250,-42.713127
2.880,-9.586151,-0.650870,0.041480,9.248751,4.348750,-41.400627
2.900,-9.709980,-0.672830,-0.003660,9.594376,7.997500,-37.878754
2.920,-9.691681,-0.542290,-0.151280,8.085000,9.485001,-35.721878
2.940,-9.544060,-0.472750,-0.145180,4.606875,10.010000,-32.987503
2.960,-9.593470,-0.443470,-0.037210,-2.493750,6.553751,-27.973751
2.980,-9.606280,-0.452620,-0.017080,-3.950625,4.987500,-26.096876
3.000,-9.513560,-0.422730,0.188490,-4.090625,5.355000,-25.042501
3.020,-9.439140,-0.412360,0.301340,-4.834375,5.258750,-26.586876
3.040,-9.527591,-0.425170,0.394670,-4.567500,8.312500,-31.276876
3.060,-9.498311,-0.400160,0.418460,-3.556875,11.318126,-33.219376
3.080,-9.474521,-0.429440,0.450180,0.271250,13.138125,-36.846252
3.100,-9.591640,-0.572180,0.436150,1.837500,14.013125,-39.195625
3.120,-9.555040,-0.514840,0.392840,1.933750,15.338751,-41.046253
3.140,-9.513560,-0.491050,0.355020,0.065625,15.885626,-41.982502
3.160,-9.488550,-0.412360,0.280600,-1.763125,15.693126,-40.731251
3.180,-9.340931,-0.315980,0.274500,-4.366250,13.496876,-35.844376
3.200,-9.259800,-0.305610,0.279990,-4.007500,10.491250,-32.755627
3.220,-9.201241,-0.273280,0.361120,-0.678125,2.082500,-27.190626
3.240,-9.368990,-0.333060,0.376980,2.410625,-1.798125,-24.981251
3.260,-9.405591,-0.359290,0.367220,5.490625,-7.730625,-20.173126
3.280,-9.392780,-0.330620,0.375150,6.580000,-9.450001,-17.775625
3.300,-9.537351,-0.380030,0.355020,5.543125,-10.753751,-15.360625
3.320,-9.745971,-0.499590,0.203130,3.005625,-12.508125,-8.124375
3.340,-9.724010,-0.502640,0.147620,0.481250,-13.076876,-4.256875
3.360,-9.623361,-0.489220,0.087840,-6.916875,-13.151251,-0.288750
3.380,-9.700830,-0.520940,0.097600,-9.808750,-11.580626,0.035000
3.400,-9.647151,-0.515450,0.114070,-11.296250,-5.652500,-1.137500
3.420,-9.560531,-0.429440,0.142130,-10.596251,-2.555000,-1.890000
3.440,-9.512341,-0.363560,0.087230,-9.279375,-0.078750,-1.960000
3.460,-9.343370,-0.175070,-0.004880,-6.706875,2.935625,0.516250
3.480,-9.319581,-0.132980,-0.025010,-6.063750,2.695000,3.180625
3.500,-9.419621,-0.255590,0.020740,-3.920000,-1.561875,10.145625
3.520,-9.526371,-0.312930,0.066490,-2.257500,-4.760000,13.496876
3.540,-9.713641,-0.394670,0.051850,-2.222500,-6.995625,18.602501
3.560,-9.677040,-0.395280,0.030500,-3.679375,-5.057500,20.356876
3.580,-9.666060,-0.387350,0.053070,-8.579375,-1.242500,22.133125
3.600,-9.730721,-0.379420,0.051850,-10.303125,0.070000,22.360626
3.620,-9.758780,-0.356850,-0.007320,-11.116876,2.891875,23.406252
3.640,-9.535521,-0.203130,-0.090890,-12.477501,8.111250,27.601877
3.660,-9.446461,-0.184220,-0.065270,-12.985001,7.590625,29.903126
3.680,-9.466590,-0.224480,0.023180,-12.468751,5.184375,34.011253
3.700,-9.503800,-0.249490,0.060390,-11.445001,4.856250,34.816250
3.720,-9.494040,-0.188490,0.069540,-10.014376,8.631875,35.844376
3.740,-9.353130,-0.190320,0.104920,-9.804376,9.843750,35.612503
3.760,-9.358621,-0.117120,0.168360,-9.095626,9.638125,34.698128
3.780,-9.422060,-0.066490,0.163480,-6.540625,12.175626,34.510002
3.800,-9.295791,-0.032940,0.116510,-5.420625,14.223125,34.475002
3.820,-9.351300,-0.082960,0.181170,-2.423750,15.662500,33.910625
3.840,-9.340321,-0.073200,0.130540,-0.148750,16.012501,33.486252
3.860,-9.124990,0.183000,0.262300,2.625000,9.607500,39.908752
3.880,-9.201850,0.065270,0.391010,3.836875,-3.080000,47.140629
3.900,-9.398271,-0.140910,0.536190,5.455625,-29.115627,58.091251
3.920,-9.921651,-0.339160,0.575840,3.850000,-33.652500,60.882504
3.940,-10.008880,-0.453230,0.574620,-0.201250,-31.508751,61.691879
3.960,-10.081471,-0.444690,0.453840,-11.576250,-15.960001,59.255001
3.980,-9.950320,-0.401380,0.362950,-17.338125,-7.538126,57.426254
4.000,-9.621531,-0.195200,0.190930,-24.495626,5.298125,54.560627
4.020,-9.467811,-0.093330,0.187880,-25.453751,7.949375,53.628754
4.040,-9.489771,-0.031720,0.247660,-21.083126,8.413125,51.126251
4.060,-9.443411,0.125050,0.212280,-18.375000,8.793751,50.076252
4.080,-9.340931,0.265350,0.166530,-16.493752,8.404375,51.992504
4.100,-9.489771,0.242780,0.090890,-15.798126,6.986876,54.753128
4.120,-9.470251,0.258030,0.068320,-15.365001,5.013750,59.058128
4.140,-9.598351,0.092720,0.081130,-15.102501,1.435000,67.086250
4.160,-9.473910,0.055510,0.105530,-15.841876,1.343125,69.238754
4.180,-9.520271,-0.053680,0.414190,-17.101875,-0.647500,65.292503
4.200,-9.556870,-0.027450,0.515450,-16.926876,0.468125,60.370628
4.220,-9.531861,0.103700,0.506300,-17.342501,6.601875,53.729378
4.240,-9.394610,0.391620,0.407480,-18.038126,9.288125,54.315628
4.260,-9.189651,0.550830,0.326350,-18.746876,9.130626,64.216255
4.280,-9.102420,0.618540,0.241560,-16.883125,0.704375,69.816254
4.300,-9.203071,0.581330,0.279380,-13.186251,-4.624375,74.208755
4.320,-9.450121,0.353800,0.369050,-4.423125,-8.115625,75.499382
4.340,-9.519051,0.303170,0.367830,-2.073750,-5.276250,72.918129
4.360,-9.561140,0.237290,0.436150,-2.345000,2.205000,66.333755
